,Hotel Name,Address,Rating (5),Price (2)
5948,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5949,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5950,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5951,Little Italy,"IS Nagar, West Pune",4.1,1500
5952,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5953,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5954,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5955,Madeline,"MS Nagar, West Pune",4.4,900
5956,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5957,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5958,Mughal's,"MF Road, West Pune",5.0,1000
5959,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5960,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5961,High Garden,"GS Bapat Road, West Pune",4.2,1000
5962,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5963,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5964,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5965,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5966,Wok Toss,TG West Pune,4.7,1000
5967,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5968,Fountain House,HG West Pune,4.4,1500
5969,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5970,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5971,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5972,Little Italy,"IS Nagar, West Pune",4.1,1500
5973,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5974,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5975,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5976,Madeline,"MS Nagar, West Pune",4.4,900
5977,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5978,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5979,Mughal's,"MF Road, West Pune",5.0,1000
5980,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5981,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5982,High Garden,"GS Bapat Road, West Pune",4.2,1000
5983,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5984,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5985,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5986,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5987,Wok Toss,TG West Pune,4.7,1000
