,Hotel Name,Address,Rating (5),Price (2)
5647,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5648,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5649,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5650,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5651,Wok Toss,TG West Pune,4.7,1000
5652,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5653,Fountain House,HG West Pune,4.4,1500
5654,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5655,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5656,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5657,Little Italy,"IS Nagar, West Pune",4.1,1500
5658,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5659,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5660,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5661,Madeline,"MS Nagar, West Pune",4.4,900
5662,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5663,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5664,Mughal's,"MF Road, West Pune",5.0,1000
5665,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5666,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5667,High Garden,"GS Bapat Road, West Pune",4.2,1000
5668,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5669,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5670,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5671,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5672,Wok Toss,TG West Pune,4.7,1000
5673,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5674,Fountain House,HG West Pune,4.4,1500
5675,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5676,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5677,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5678,Little Italy,"IS Nagar, West Pune",4.1,1500
5679,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5680,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5681,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5682,Madeline,"MS Nagar, West Pune",4.4,900
5683,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5684,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5685,Mughal's,"MF Road, West Pune",5.0,1000
5686,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5687,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5688,High Garden,"GS Bapat Road, West Pune",4.2,1000
5689,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5690,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5691,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5692,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5693,Wok Toss,TG West Pune,4.7,1000
5694,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5695,Fountain House,HG West Pune,4.4,1500
5696,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5697,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5698,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5699,Little Italy,"IS Nagar, West Pune",4.1,1500
5700,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5701,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5702,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5703,Madeline,"MS Nagar, West Pune",4.4,900
5704,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5705,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5706,Mughal's,"MF Road, West Pune",5.0,1000
5707,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5708,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5709,High Garden,"GS Bapat Road, West Pune",4.2,1000
5710,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5711,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5712,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5713,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5714,Wok Toss,TG West Pune,4.7,1000
5715,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5716,Fountain House,HG West Pune,4.4,1500
5717,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5718,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5719,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5720,Little Italy,"IS Nagar, West Pune",4.1,1500
5721,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5722,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5723,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5724,Madeline,"MS Nagar, West Pune",4.4,900
5725,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5726,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5727,Mughal's,"MF Road, West Pune",5.0,1000
5728,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5729,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5730,High Garden,"GS Bapat Road, West Pune",4.2,1000
5731,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5732,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5733,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5734,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5735,Wok Toss,TG West Pune,4.7,1000
5736,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5737,Fountain House,HG West Pune,4.4,1500
5738,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5739,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5740,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5741,Little Italy,"IS Nagar, West Pune",4.1,1500
5742,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5743,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5744,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5745,Madeline,"MS Nagar, West Pune",4.4,900
5746,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5747,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5748,Mughal's,"MF Road, West Pune",5.0,1000
5749,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5750,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5751,High Garden,"GS Bapat Road, West Pune",4.2,1000
5752,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5753,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5754,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5755,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5756,Wok Toss,TG West Pune,4.7,1000
5757,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5758,Fountain House,HG West Pune,4.4,1500
5759,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5760,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5761,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5762,Little Italy,"IS Nagar, West Pune",4.1,1500
5763,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5764,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5765,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5766,Madeline,"MS Nagar, West Pune",4.4,900
5767,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5768,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
5769,Mughal's,"MF Road, West Pune",5.0,1000
5770,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5771,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5772,High Garden,"GS Bapat Road, West Pune",4.2,1000
5773,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5774,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
5775,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5776,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5777,Wok Toss,TG West Pune,4.7,1000
5778,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5779,Fountain House,HG West Pune,4.4,1500
5780,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5781,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5782,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5783,Little Italy,"IS Nagar, West Pune",4.1,1500
